;host_response_time;host_response_rate;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;price;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;number_of_reviews;instant_bookable;is_business_travel_ready;cancellation_policy;ano;mes
1377;within an hour;100%;f;8.0;-22.93496;-43.19311;Apartment;Private room;1;1.5;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),""Free street parking"",""Buzzer/wireless intercom"",Washer,Dryer,""Fire extinguisher"",Essentials,""Lock on bedroom door"",""Hot water"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Host greets you""}";64.0;$58.00;1;88.0;10;365;3;f;f;moderate;2020;4
1379;within an hour;100%;f;3.0;-22.95235;-43.16758;Apartment;Entire home/apt;6;1.0;2.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Garden or backyard""}";232.0;$100.00;2;60.0;1;90;2;f;f;strict_14_with_grace_period;2020;4
1380;within an hour;100%;t;1.0;-22.9779;-43.189640000000004;Apartment;Entire home/apt;6;2.0;2.0;4.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",Beachfront}";300.0;$100.00;1;0.0;3;1124;136;t;f;strict_14_with_grace_period;2020;4
1381;within an hour;100%;t;4.0;-22.98268;-43.19188;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;"{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Doorman,Breakfast,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",Oven,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallways"",""Wide entrance for guests"",""No stairs or steps to enter"",""Host greets you"",Beachfront}";137.0;$0.00;2;100.0;3;30;31;t;f;strict_14_with_grace_period;2020;4
1382;within an hour;95%;f;40.0;-22.982429999999997;-43.20231;Apartment;Entire home/apt;6;2.0;2.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""24-hour check-in"",Hangers}";701.0;$160.00;1;0.0;2;30;9;f;f;strict_14_with_grace_period;2020;4
1383;within an hour;100%;f;1.0;-22.96285;-43.17751;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Hot water"",Refrigerator,""Dishes and silverware"",""Cooking basics"",""Host greets you""}";511.0;$180.00;2;0.0;3;1125;7;f;f;moderate;2020;4
1384;within an hour;100%;t;1.0;-22.9872;-43.19858;Apartment;Entire home/apt;5;2.0;2.0;3.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Smoking allowed"",Elevator,Washer,Dryer,""Carbon monoxide detector"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",Other,""Paid parking on premises""}";330.0;$160.00;2;50.0;3;88;158;f;f;strict_14_with_grace_period;2020;4
1385;within an hour;100%;t;1.0;-22.980539999999998;-43.190940000000005;Apartment;Shared room;1;1.0;1.0;2.0;Real Bed;"{TV,Internet,Wifi,""Smoking allowed"",Doorman,""Pets live on this property"",Dog(s),Elevator,""Buzzer/wireless intercom"",Essentials,""24-hour check-in"",Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Refrigerator,""Dishes and silverware"",""Host greets you""}";47.0;$35.00;2;40.0;1;15;125;f;f;strict_14_with_grace_period;2020;4
1386;within a few hours;70%;f;2.0;-22.95105;-43.177040000000005;Apartment;Private room;3;2.0;1.0;1.0;Real Bed;"{Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Buzzer/wireless intercom"",Essentials,""Hot water"",Microwave,""Cooking basics"",Stove,""Trash can""}";298.0;$180.00;2;60.0;3;90;5;f;f;strict_14_with_grace_period;2020;4
1388;within a few hours;100%;f;3.0;-22.98195;-43.22538;Apartment;Entire home/apt;6;3.0;4.0;4.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}";1201.0;$0.00;1;0.0;1;30;3;t;f;strict_14_with_grace_period;2020;4
